Province,Town,Email,Phone,Website,Website1,Gender,Language,Curriculum,GradeMin,GradeMax,OpeningHours,Description,Address
Gauteng,Midrand,info@poplaracademy.co.za,826 550 723,https://www.poplaracademy.co.za/,https://saprivateschools.co.za/listing/poplar-academy-pre-school/,Co-Ed (Mixed),English,Cambridge,,Crowthorne,7:00 am - 3:00 pm,"Poplar Academy is a co-educational, parallel medium, independent school, situated in Crowthorne, in the city of Johannesburg, South Africa offering both primary and secondary schooling. A foundation rooted in knowledge allows for a focussed and strong core. Through personal touch and learner support, the supportive and nurturing environment provided by Poplar Academy encourages growth and development of a confident self where knowledge shields against the challenges of the modern world. Among the core values Poplar Academy subscribes to, unconditional acceptance, recognition and development of strengths while offering support of weakness together with flexibility and leadership through guidance and service set them apart from the majority of learning institutions. In addition, small classes of between 12 and 15 learners, offering Cambridge (IGCSE + AS Level) school leaver's qualifications make Poplar Academy attractive. Focusing on language and perceptual skills, French is offered, as a third language. Early childhood development centre caters to children aged between 2 and 5.Poplar Academy, Whisken Avenue, Crowthorne, Midrand, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","Poplar Academy, Whisken Avenue, Crowthorne, Midrand, South Africa, South Africa"
Gauteng,Centurion,info@villagemontessorischool.co.za,012-664-2944,http://www.villagemontessorischool.co.za/home_page.htm,https://saprivateschools.co.za/listing/village-montessori-pre-school/,Co-Ed (Mixed),English,CAPS,Grade RR,Grade R,7:00 am - 3:00 pm,"The primary goal of a Montessori program is to help each child reach its full potential in all areas of life. The method of Montessori is based on three key factors; the specialized training of the teacher, a specially prepared environment complete with Montessori apparatus and a multi age grouping of children. When these elements are in place, young children are able to discover their own talents, gain self-confidence, make friendships, experience the joys of learning, and grow in a holistic manner. The unique nature of each individual child is recognized. The Montessori program allows a child to develop at their own pace to reach independence, as the Educators follow the child's needs, sensitive periods and their stages of development. Observation is the key assessment tool to meet the innate qualities of children.245 Glover Ave, Lyttelton AH, Centurion, 0157, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","245 Glover Ave, Lyttelton AH, Centurion, 0157, South Africa"
Haenertsburg,,marketing@slc.co.za,152 766 103,https://www.slc.co.za/,https://saprivateschools.co.za/listing/stanford-lake-college/,Co-Ed (Mixed),English,CAPS,Instagram,YouTube,7:00 am - 3:00 pm,"Founded in 1998, Stanford Lake College is an independent English medium co-educational high school. We accept day scholars as well as weekly and termly boarders. Four hundred kilometres northeast of Johannesburg lies Magoebaskloof, picturesquely situated between Tzaneen and Polokwane, near the hamlet of Haenertsburg. THE ADVENTUROUS CHOICE We are a people of optimism, imagination and commitment. Stanford Lake College is a place of learning where acceptance and belonging prevail. We value the unique richness of every individual within the school community. At Stanford we thrive on challenges, stretching ourselves beyond the ordinary. Stanford Lake College is a ""Christian ethos"" school which welcomes pupils from different cultures, religions, races and languages. The school follows the Christian calendar and festivals whilst acknowledging the needs of the other religions within the Stanford community. Stanford Lake College started as a community project and is guided by the Board of Directors of the Letaba Educational Trust, which sets policies and acts as the custodian and protector of the College. Our Vision To optimise our uniqueness, and in so doing, develop balanced, globally astute individuals within the Stanford Lake College family.A22, off the, R71, Haenertsburg, 0730, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","A22, off the, R71, Haenertsburg, 0730, South Africa"
Mbombela,Mpumalanga,admissions@uplands.co.za,+ 27 (0) 13 751 3141,https://uplands.co.za/,https://saprivateschools.co.za/listing/uplands-pre-school/,Have a look at our video here,Click here to send us an enquiry,Download a form here,,Mbombela,7:00 am - 3:00 pm,"Uplands is an Anglican, co-educational Independent high school located on a picturesque, 110ha estate near White River, Mpumalanga Province, South Africa.Uplands Pre-Preparatory, Preparatory, College, Outreach.Vision and Mission Uplands VisionUplands develops interested and interesting young people who are self-confident, happy and successful in a changing world. They will be creative, critical thinkers who embrace change and develop lasting, healthy relationships.MissionWe achieve our vision by providing a dynamic, caring, well-rounded, values-based education through our quality teams at the Pre-Preparatory, Preparatory, College and Outreach. Essential to our success as we grow a world-class, forward-thinking school are the following pillars: Academics, Co-Curricular, Boarding & pastoral, Diverse community, Anglican ethos.About Our SchoolUplands strives to be Africa's pre-eminent, independent, co-educational school operating under the auspices of the Anglican Church, offering quality, holistic schooling to pupils from Grade 0000 to 12, with outstanding boarding from Grade 4 upwards. Uplands has a proven track record of success as a contemporary school with almost 100 years of timeless quality and values.Uplands delivers an engaging and globally relevant curriculum for our divers pupil body. This is achieved through a skills-based approach which promotes a culture of learning, creativitiy, critical thinking, social growth, inclusion (transformation and diversity) and talent realisation. Pupils benefit from building effective relationships with an inspired, collaborative, and innovative staff.Set in an area of extraordinary scenic beauty, Uplands is located on a spacious 110-hectare country estate in White River, Mpumalanga, South Africa. We hace exceptional facilities, in the academic, sporting, cultural and Outreach arenas. Our dynamic, caring and supportive staff provide individual attention to all pupils within a family-friendly environment, from 07h30 to 16h30 for day scholars and 24 hours for boarders, so that each pupil thrives.The full-day integrated programme us fully inclusive of required meals and tea-time snacks, sport, culture, community service sessions, supervised homework sessions and extra-curricular activities.In many ways we offer a fresh, welcoming approach. This is a culture of education that has defined who we are since our beginnings in 1928.The best way to get to know us, is to come and visit us - to see our picturesque campus and to meet some of our pupils. You are guaranteed a very warm welcome.Uplands College Honour Code       Boarding at Uplands  (see boarding video here)School is not just about teaching fractions, grammar and the impacts of soil erosion. As parents and teachers we need to ensure we are also teaching a love for resilience and grit, a drive for ingenuity and passion, and a discovery of ideas and self-discipline. We need to grow community children who are able to interact with others; those who can listen, who can lead and who can follow as the situation demands.We believe there exists in boarding the structure and environment to fully develop this very sense of character. In focussing on creating a Home-In-A-House and in searching for the Positive First, we believe our six boarding establishments continue to provide the level of care, support and challenge to develop happy, resourced and assured Uplanders. Underpinning our boarding success is an excellent team of staff that remain motivated and skilled to seek the best in your child.Sports and CultureUplands offers a wide range of sports and cultural activities including:AthleticsHockeyRugbySwimmingMTBSquashCricketNetballGymEquestrianAcademicsAcademic excellence lies at the core of the Uplands ethos. Uplands provide a challenging, relevant and balanced education for your child.Pre-Primary PhaseStarts from Grade 0000 our aim is to provide a comprehensive learning programme within a warm and loving Christian environment that caters for the 'whole child.'Foundation PhaseWe offer a structured academic programme that focuses on integrated learning in Numeracy, Literacy and Life Skills. We try to provide a varied enough curriculum to cater for the needs of children with various learning styles.Our small classes enable teachers to focus on the needs of our pupils.Senior Primary PhaseIn the Senior Primary Phase we offer a more formalised learning environment. Class teaching, combined with specialist teachers, occurs at a Grade Four and Five level. In Grades Six and Seven our pupils are exposed to subject specialist teaching. We offer a holistic curriculum covering a wide range of subjects.Have a look at our video here CollegeAcademic excellence lies at the core of the Uplands College ethos, building on the foundations laid at Uplands Preparatory School. In delivering on this goal, the College goes beyond the minimum requirements contained in the National Curriculum. We provide a challenging, relevant and balanced education that aims to cultivate the pupils' academic potential to enable them to succeed in their chosen career or profession and to lead lives of significance. Through an innovative curriculum and embracing a diverse student body, we aim to produce global citizens who are compassionate, tolerant and ethical.Uplands students write the IEB National Senior Certificate as well as other national and international benchmarking tests falling under the auspices of the IEB. To ensure consistent excellent academic delivery, Uplands runs extension and support programmes for students, professional development for staff and a mentoring programme for interns.CulturalThe Performing Arts are thriving in our beautiful environment. There is close interaction between Drama, Dance, Music and Art at all times in an effort to create broadminded, balanced young individuals. Apart from offering Drama, Music and Art as academic subjects, the College also offers extra-curricular opportunities to students interested in further developing their talents.The Visual Arts are represented in the many art exhibitions and displays around the College. Regular trips to art galleries and even a Cultural tour abroad is on offer. Extra classes and clubs form part of our after school activity list and cater for those not wanting to take it ""too seriously"".Drama is very much alive and well on the campus and students regularly perform to a very enthusiastic audience. Our delightful annual inter-house plays with theatrical and comic players are most entertaining. A more serious, bigger scale production is embarked upon every second year and draws support from all quarters of the school as each pupil adds his or her own particular talent to the success of the play on stage!Private music lessons including piano, clarinet, saxophone, voice, guitar and violin is given to students. The Music Departments continues to delight parents and fellow pupils with musical performances throughout the year showcasing an abundance of artistic talent.Admissions: Click here to send us an enquiry Admissions form: Download a form hereDanie Joubert Street Extension, White River, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","Danie Joubert Street Extension, White River, South Africa"
Gauteng,Randburg,info@radley.co.za,117 813 647,https://www.radley.co.za,https://saprivateschools.co.za/listing/radley-private-primary-school/,Karate,Swimming,Art & Craft Club,Mathematics,Music,7:00 am - 3:00 pm,"Radley Private School, in Ferndale, strives to develop responsible, caring and well-rounded individuals who are self-confident and independent thinkers – the leaders and entrepreneurs of tomorrow.Our top priority is the welfare and progress of every learner. Our classes are small, which gives us the ability to provide personalised, individual attention. We encourage parents to become involved in school activities and to support their children both academically and emotionally.We believe in harnessing the individual strengths of each of our young entrepreneurs to develop a foundation of self-sufficiency and independence.While our primary school subject offering varies according to demand, we ensure that our curriculum allows our entrepreneurs to access the future tertiary diploma or degree of their choice.431 Elgin Avenue, Ferndale, RandburgMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","431 Elgin Avenue, Ferndale, Randburg"
Gauteng,Sandton,info@futurenationschools.com,011 386 2500 / 011 674 0269,https://futurenationschools.com/lyndhurst-campus/,https://saprivateschools.co.za/listing/future-nation-schools-lyndhurst-primary-school/,Karate,Netball,Soccer,Basketball,Cricket,,"Our Curriculum
CAPS + Project based Learning (PBL) + IEB = FUTURE-PROOF
Pre-School:
The world of the child is full of sights and sounds which at first appear chaotic. From this chaos, the child must gradually create order; they slowly gain mastery of themselves and of their environment. Dr Montessori developed the “prepared environment” which possess a certain order and disposes the child to develop his capabilities at their own speed, according to his own capacities in a non-competitive atmosphere.Our safe and effective environment helps your child develop their physical, emotional, intellectual and spiritual capacities to the fullest. To achieve this, they must have freedom.In brief, the Montessori approach is designed to help the child build within themselves the foundations for a lifetime of creative learning and expression.Our staff have Montessori and/or ECD qualifications and are registered with the South African Council for Educators (SACE).Primary – High School:
We teach the national CAPS curriculum that is integrated with Project-Based Learning from primary school level. We implement Project-Based Learning (PBL) from primary school right through to Grade 12.In Project Based Learning, the project is the vehicle for teaching the important knowledge and skills that a student needs to learn. The project contains and frames the curriculum and instruction.PBL requires critical thinking, problem-solving, collaboration, and various forms of communication. To answer a Driving Question and create high-quality work, students need to do much more than remember information. They need to use higher-order thinking skills and learn to work as a team.To help ensure our students are getting the main course and are engaging in quality Project Based Learning, We promote a research-based model for the students to learn how to question, investigate and/or design and respond to an authentic, engaging and complex question, problem and/or challenge.Our students write the Independent Examination Board (IEB) examinations in Grade 12. The IEB seeks to advance quality teaching and learning in South Africa through an assessment process of integrity, innovation and international comparability. All schools registered with the IEB to write the National Senior Certificate have access to a range of professional development opportunities as well as a variety of assessments, designed to serve a range of purposes.The IEB produces consistent, reliable results in the Grade 12 National Senior Certificate with an average pass rate between 97% and 98%. Furthermore, the IEB achieves between 78% and 80% pass with entry to degree study. Our first two cohorts of Matrics have achieved a 100% pass rate in the 2021 and 2022 IEB Matric Exams.Someday All Schools Will Teach This Way!For more and to see a virtual tour of our campus, visit https://futurenationschools.com/lyndhurst-campus/Monday7:00 am - 5:00 pmTuesdayN/AWednesdayN/AThursdayN/AFridayN/ASaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time",
Gauteng,East Rand,admin@veritascollege.co.za,011 362 2686,http://www.veritascollege.co.za,https://saprivateschools.co.za/listing/veritas-primary-school/,Tourism,Afrikaans,Visual Arts,Consumer Studies,Agricultural technology,7:00 am - 2:00 pm,"Veritas College is a Catholic school grounded in the Educational vision of the Dominican Order and the Christian Brothers. Our ethos is Catholic, which encompasses the following beliefs:We believe that every person, being created by God, is essentially good. Our challenge is to create the broad educational framework and opportunities in order to enable each learner to aspire to that goodness.We believe that God is revealed in all things through:      Make enquiries for admissions here 
					40 Derby Avenue, Springs, Gauteng 1559, South AfricaMonday7:00 am - 2:00 pmTuesday7:00 am - 2:00 pmWednesday7:00 am - 2:00 pmThursday7:00 am - 2:00 pmFriday7:00 am - 2:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","40 Derby Avenue, Springs, Gauteng 1559, South Africa"
Gauteng,Jhb South,eduvaal@telkomsa.net,(016) 455-1097,https://www.educollegevaal.co.za/,https://saprivateschools.co.za/listing/ed-u-pre-school-vaal/,Co-Ed (Mixed),English,IEB,,Vereeniging,7:00 am - 3:00 pm,"Our visions is to mould and develop to the fullest extent the ability and talents of every learner, through a holistic approach; To promote strong ethics of truth, fair play, friendship and goodwill, To develop a code of good conduct for learners and all teaching and non-teaching staff; To offer a relaxed, yet disciplined, environment conducive to learning. Mission To empower learners to reach their full potential. To prepare learners to be actively involved in their economic and political roles as citizens of our country. To offer opportunities and create an environment for our learners to become critical thinkers. To encourage learners, parents and the community to commit to total involvement towards the attainment of the above goals. Mission Statement In our endeavor to facilitate the above, we strive to supply/ offer: a suitably qualified and experienced staff body; a stimulating educational curriculum with constant revision to cater for changing needs; a clean and tidy school with facilities and grounds kept in neat and functional order; an ""open door"" approach to parents and learners in respect of any suggestions or grievances and; an accurate and efficient administration office.31 Hofmeyer Ave, Vereeniging, 1930, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","31 Hofmeyer Ave, Vereeniging, 1930, South Africa"
Gauteng,Sandton,admissions@stmary.co.za,https://www.stmarysschool.co.za/,,https://saprivateschools.co.za/listing/st-marys-pre-school-waverley/,English,CAPS,,Johannesburg,,7:00 am - 3:00 pm,"St Mary's School, an independent Anglican School for girls, was established in 1888 and is the oldest school in Johannesburg. St Mary's caters for pupils from pre-school (Grade 000) through to matric (Grade 12). It is a school with a rich history which exudes spirit, integrity and passion. It welcomes the enrichment provided by other cultures and religions. It is an unpretentious school, which offers a real and relevant education to all in its care.Pre-primary schooling for boys and girls aged three to five begins in Grades 000 and 00 at Little Saints. Our Reggio-inspired socio-constructivist approach to pre-school education guides children to discover meaning and to encounter their world through exploration and play.Our view of the girls and boys in our care as strong and competent is informed by the emphasis Reggio places on the defence and promotion of the rights and potential of all children.The exhilarating atmosphere of Little Saints is attributable in no small part to the respect and centrality our approach gives to play, and the joyous expression it finds in creativity, communication and social interaction.For school fees and other admissions information, please contact us below by emailing or completing the form at the bottom of this page.55 Athol St, Waverley, Johannesburg, 2090, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","55 Athol St, Waverley, Johannesburg, 2090, South Africa"
Gauteng,Randburg,info@radley.co.za,117813647,https://www.radley.co.za,https://saprivateschools.co.za/listing/radley-private-pre-school/,Karate,Swimming,Art & Craft Club,Co-Ed (Mixed),English,7:00 am - 3:00 pm,"Located in Ferndale, Randburg, Radley Private School has been offering innovative, learner-centred tuition from grades RR to 12 since 1997 in a culture of inclusivity and mutual respect. We strive to develop responsible, caring and well-rounded individuals who are self-confident and independent thinkers - the leaders and entrepreneurs of tomorrow.Against the backdrop of rising unemployment among school leavers and even university graduates, Radley believes that meaningful and relevant education is about far more than curriculum content and passing grades. Our dedicated and experienced educators are trained in the use of methodologies that foster independent and creative thinking, resourcefulness and a love of learning because these are the skills that will best serve our youth as they progress through school, university and the world of work - whether as corporate employees, professionals or business owners.Radley Private School offers a holistic approach to education which is not just about balancing work and play. It is also about creating a sense of community through collaboration and communication with parents and the surrounding community.431 Elgin Avenue, FerndaleMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","431 Elgin Avenue, Ferndale"
Roodepoort,Tres Jolie AH,0110256543@mweb.co.za,110 256 543,,https://saprivateschools.co.za/listing/excelsior-learning-centre-primary-school/,Geography,Agricultural Management Practices,History,Civil Technology,Dramatic Arts,7:00 am - 3:00 pm,"Achieving Excellence Through Learning Location 8 Peter Road, Ruimsig, Roodepoort, 1725, Gauteng Admissions Admissions Enquiries Here Gender Co-education Grades Taught Grade 0000 - Grade 12 (Pre-Primary, Primary and High School) Telephone +27 11 25 6543 Cell 079 230 6207 Fees Download Here Admissions Policy Download Here Boarding Available? NO Excelsior Excelsior Learning Centre, a small and unique school, centrally situated on Peter Road, Ruimsig, is a schooling opportunity for students who do not want to attend mainstream schools, or are struggling with home schooling. Students receive individual attention in small classes, as the ratio, in any given class, will not be more than 1 Teacher to 12 pupils. This enables them to fulfill their requirements, as well as creating a positive ""can do"" academic environment. We offer the CAPS Curriculum; Grade R - 12. We are registered with the Department of Education. We take the time to evaluate and recognize each individual's needs and abilities and then guide and support them. We urge each and every student to reach both their academic and personal potential, to encourage the development of self-esteem and confidence, resulting in well- balanced, all-round students, under the guidance of our dedicated and caring teachers.41 Peter Rd, Tres Jolie AH, Roodepoort, 2040, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","41 Peter Rd, Tres Jolie AH, Roodepoort, 2040, South Africa"
Meyerton,,marketing@broadlands-schools.co.za,+27 81 357 8154,https://www.dcegroup.co.za,https://saprivateschools.co.za/listing/greenacres-private-college/,Netball,Soccer,Chess club,Eisteddfod,Extra Lessons,7:00 am - 3:30 pm,"Greenacres Private College is one of the leading private schools in the Vaal Triangle area. We strive to produce confident individuals who are able to lead a life of purpose. Our whole learner centered approach offers learners guiding principles, central to our school’s ethos.Greenacres Private College provides a safe, nurturing and inclusive community where our learners are encouraged to explore, experiment and investigate. We aim to develop each child to the maximum of their potential and ensure quality academics and discipline.20 Morris Road, MeyertonMonday7:00 am - 3:30 pmTuesday7:00 am - 3:30 pmWednesday7:00 am - 3:30 pmThursday7:00 am - 3:30 pmFriday7:00 am - 3:30 pmSaturdayClosedSundayClosed
							November 8, 2024 10:03 am local time","20 Morris Road, Meyerton"
Gauteng,Midrand,info@openmindscampus.co.za,0817901973,https://openmindscampus.co.za/,https://saprivateschools.co.za/listing/open-minds-campus-primary-school/,Fitness & P.E,Yoga,Drama,Mathematics,Music,7:00 am - 3:00 pm,"Open Minds Campus is different.Being smart is not just about your exam score. We also care about what happens to you after you finish university, just as much as we care about you getting into and thriving at university.Open Minds Campus is a school that makes students self-directed. Inspired by The Montessori, Singapore, Finland, and other 21st-century schooling approaches.Do you have the academic preparation, the passion, and the gumption to create a meaningful life for yourself? And can you do it ethically and collaboratively without tearing others down? At Open Minds Campus these are our values.Open Minds Campus, Crocus Road, Kyalami AH, Midrand, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 12:04 pm local time","Open Minds Campus, Crocus Road, Kyalami AH, Midrand, South Africa, South Africa"
Gauteng,Florida,info@victoryhouse.co.za,116 725 402,http://www.victoryhouse.co.za,https://saprivateschools.co.za/listing/victory-house-pre-school/,Co-Ed (Mixed),English,CAPS,,Roodepoort,7:00 am - 3:00 pm,"As a school, we set out to develop each child's natural talents, impart new skills and encourage them to fulfil their potential in all areas - academic,emotional, spiritual and physical. In so doing, we hope to promote the development of well-rounded individuals who are able to both meet life's challenges and present the world as we know it, with new ones. We recognise the diversity of each child's abilities and natural talents and therefore endeavour to instil in the child an appreciation of knowledge, culture and a sense of community. This will enable them to meaningfully contribute to the realisation of the values outlined in the South African constitution. We encourage children to realise that they can be victorious. The importance of guiding and directing each child towards his/her goals is paramount. In so doing, we walk within the bounds of PEITHO: - the leaning of the entire human personality upon God in absolute trust and confidence in His power, wisdom and goodness. To summarise, our Vision is to make a positive difference to every learner that attends Victory House.Golf Club Terrace, Florida, Roodepoort, 1710, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 10:04 am local time","Golf Club Terrace, Florida, Roodepoort, 1710, South Africa"
,,info@loretoschoolqueenswood.co.za,012 333 4384 or 078 015 5291,https://www.loretoschoolqueenswood.com/pre-school-at-loreto-school-queenswood,https://saprivateschools.co.za/listing/loreto-school-queenswood-pre-school/,Co-Ed,English,CAPS,Copy link,Copy link,,"Grade RRR (000) - Grade R (0)Our  pre-primary school includes the reception phase. We welcome children from Grade RRR (from ages 3 - 4 years old), Grade RR (from age 4 years old to 5 years old) and Grade R (children who will be turning 6 anytime from 1 January to 31 December of that year.)Our school is situated in Queenswood, (Moot suburbs) within beautiful surroundings, where your child can learn in a carefree and safe environment. We are an English medium, Catholic, co-ed school.​Educators of this age build safe bridges between home and school and lay a strong foundation upon which all further learning will stand.​It is important to note that, while many schools have fallen into the trap of formalising their reception year with uniforms, pen and paper work and formal reading instruction, we remain true to the well-documented evidence that the best way for young children to learn is through play.​Our Play is meticulously planned, well designed and scaffolded. It has definite planned outcomes and is not merely a way to pass the time.""Play will raise a child in ways you can never imagine!""1161 Woodlands Drive, Pretoria, Gauteng 0186, South AfricaMonday7:00 am - 3:00 pmTuesdayN/AWednesdayN/AThursdayN/AFridayN/ASaturdayN/ASundayN/A
							November 8, 2024 10:04 am local time","1161 Woodlands Drive, Pretoria, Gauteng 0186, South Africa"
Gauteng,,info@openmindscampus.co.za,0817901973,https://openmindscampus.co.za/,https://saprivateschools.co.za/listing/open-minds-campus-high-school/,Golf,Yoga,Drama,History,Physics,7:00 am - 3:00 pm,"Open Minds Campus is different.Being smart is not just about your exam score. We also care about what happens to you after you finish university, just as much as we care about you getting into and thriving at university.Open Minds Campus is a school that makes students self-directed. Inspired by The Montessori, Singapore, Finland, and other 21st-century schooling approaches.Do you have the academic preparation, the passion, and the gumption to create a meaningful life for yourself? And can you do it ethically and collaboratively without tearing others down? At Open Minds Campus these are our values.Open Minds Campus, Crocus Road, Kyalami AH, Midrand, South Africa, South AfricaMonday7:00 am - 3:00 pmTuesday7:00 am - 3:00 pmWednesday7:00 am - 3:00 pmThursday7:00 am - 3:00 pmFriday7:00 am - 3:00 pmSaturdayClosedSundayClosed
							November 8, 2024 12:04 pm local time","Open Minds Campus, Crocus Road, Kyalami AH, Midrand, South Africa, South Africa"
Ballito,Kwazulu Natal,cindy.c1@curro.co.za,872 851 671,https://www.curro.co.za/schools/curro-salt-rock-preschool/,https://saprivateschools.co.za/listing/curro-salt-rock-pre-school/,Co-Ed (Mixed),English,Afrikaans,Ballito,,,"AcademicsCurro Salt Rock is an independent preschool in Salt Rock, Ballito, that provides high-quality early childhood development for children from 3 months to 5 years, with a focus on the ELDAs. Our small class sizes allow our dedicated teachers to engage each child in our internally developed play-based curriculum at affordable school fees and to build strong, caring relationships with each child. Our school is on the same campus as our primary and high school which allows children to easily progress from preschool to primary school in a familiar environment. What does Curro Salt Rock offer?At Curro Salt Rock, we lay the foundation for your child’s future social and academic life by incorporating play in stimulating, developmental activities such as creative movement and artistic expression. By involving you, as parents/guardians, in your child’s learning experience, we provide a holistic development programme within small class sizes at affordable school fees, that stretches beyond the classroom. How do we support your child’s early childhood development?As a Curro School, our internally developed programme is designed with the Early Learning and Development Areas (ELDAs) in mind. This approach to early childhood development aims to stimulate physical, social, emotional and cognitive well-being through developmental activities and engaging play areas. ELDAs focus on aspects such as gross-motor development, fine-motor development, social awareness, communication, spatial awareness and arts.1 New Salt Rock Drive, Salt Rock, Dolphin Coast, 4392MondayN/ATuesdayN/AWednesdayN/AThursdayN/AFridayN/ASaturdayClosedSundayClosed
							November 8, 2024 10:04 am local time","1 New Salt Rock Drive, Salt Rock, Dolphin Coast, 4392"
Sandton,Lyndhurst,info@futurenationschools.com,011 386 2500 / 011 674 0269,https://futurenationschools.com/pre-school/,https://saprivateschools.co.za/listing/future-nation-schools-lyndhurst-pre-school/,Co-Ed (Mixed),English,CAPS,Lyndhurst,Grade RRRR,,"Our Curriculum
CAPS + Project based Learning (PBL) + IEB = FUTURE-PROOF FROM 18 MONTHS TO MATRIC
Pre-School:
The world of the child is full of sights and sounds which at first appear chaotic. From this chaos, the child must gradually create order; they slowly gain mastery of themselves and of their environment. Dr Montessori developed the “prepared environment” which possess a certain order and disposes the child to develop his capabilities at their own speed, according to his own capacities in a non-competitive atmosphere.Our safe and effective environment helps your child develop their physical, emotional, intellectual and spiritual capacities to the fullest. To achieve this, they must have freedom.In brief, the Montessori approach is designed to help the child build within themselves the foundations for a lifetime of creative learning and expression.Our staff have Montessori and/or ECD qualifications and are registered with the South African Council for Educators (SACE).Primary – High School:
We teach the national CAPS curriculum that is integrated with Project-Based Learning from primary school level. We implement Project-Based Learning (PBL) from primary school right through to Grade 12.In Project Based Learning, the project is the vehicle for teaching the important knowledge and skills that a student needs to learn. The project contains and frames the curriculum and instruction.PBL requires critical thinking, problem-solving, collaboration, and various forms of communication. To answer a Driving Question and create high-quality work, students need to do much more than remember information. They need to use higher-order thinking skills and learn to work as a team.To help ensure our students are getting the main course and are engaging in quality Project Based Learning, We promote a research-based model for the students to learn how to question, investigate and/or design and respond to an authentic, engaging and complex question, problem and/or challenge.Our students write the Independent Examination Board (IEB) examinations in Grade 12. The IEB seeks to advance quality teaching and learning in South Africa through an assessment process of integrity, innovation and international comparability. All schools registered with the IEB to write the National Senior Certificate have access to a range of professional development opportunities as well as a variety of assessments, designed to serve a range of purposes.The IEB produces consistent, reliable results in the Grade 12 National Senior Certificate with an average pass rate between 97% and 98%. Furthermore, the IEB achieves between 78% and 80% pass with entry to degree study. Our first two cohorts of Matrics have achieved a 100% pass rate in the 2021 and 2022 IEB Matric Exams.Someday All Schools Will Teach This Way!For more and to see a virtual tour of our campus, visit https://futurenationschools.com/pre-school//2 Wessel Ave, Lyndhurst, Johannesburg, 2192Monday7:00 am - 5:00 pmTuesdayN/AWednesdayN/AThursdayN/AFridayN/ASaturdayClosedSundayClosed
							November 8, 2024 10:04 am local time","2 Wessel Ave, Lyndhurst, Johannesburg, 2192"
